study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB21504	SAMEA104139289	ERS1798307	ERX2074629	ERR2015047	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015047/ERR2015047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015047/ERR2015047_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015047/ERR2015047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015047/ERR2015047_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC01_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC01_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC01_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC01_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/007/ERR2015047	ftp.sra.ebi.ac.uk/vol1/err/ERR201/007/ERR2015047		
PRJEB21504	SAMEA104139290	ERS1798308	ERX2074630	ERR2015048	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015048/ERR2015048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015048/ERR2015048_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015048/ERR2015048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015048/ERR2015048_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC02_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC02_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC02_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC02_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/008/ERR2015048	ftp.sra.ebi.ac.uk/vol1/err/ERR201/008/ERR2015048		
PRJEB21504	SAMEA104139291	ERS1798309	ERX2074631	ERR2015049	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015049/ERR2015049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015049/ERR2015049_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015049/ERR2015049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015049/ERR2015049_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC03_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC03_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC03_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC03_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/009/ERR2015049	ftp.sra.ebi.ac.uk/vol1/err/ERR201/009/ERR2015049		
PRJEB21504	SAMEA104139292	ERS1798310	ERX2074632	ERR2015050	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015050/ERR2015050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015050/ERR2015050_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015050/ERR2015050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015050/ERR2015050_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC04_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC04_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC04_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC04_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/000/ERR2015050	ftp.sra.ebi.ac.uk/vol1/err/ERR201/000/ERR2015050		
PRJEB21504	SAMEA104139293	ERS1798311	ERX2074633	ERR2015051	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2015051/ERR2015051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2015051/ERR2015051_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2015051/ERR2015051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2015051/ERR2015051_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC05_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC05_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC05_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC05_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/001/ERR2015051	ftp.sra.ebi.ac.uk/vol1/err/ERR201/001/ERR2015051		
PRJEB21504	SAMEA104139294	ERS1798312	ERX2074634	ERR2015052	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2015052/ERR2015052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2015052/ERR2015052_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2015052/ERR2015052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2015052/ERR2015052_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC06_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC06_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC06_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC06_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/002/ERR2015052	ftp.sra.ebi.ac.uk/vol1/err/ERR201/002/ERR2015052		
PRJEB21504	SAMEA104139295	ERS1798313	ERX2074635	ERR2015053	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2015053/ERR2015053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2015053/ERR2015053_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2015053/ERR2015053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2015053/ERR2015053_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC07_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC07_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC07_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC07_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/003/ERR2015053	ftp.sra.ebi.ac.uk/vol1/err/ERR201/003/ERR2015053		
PRJEB21504	SAMEA104139296	ERS1798314	ERX2074636	ERR2015054	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2015054/ERR2015054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2015054/ERR2015054_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2015054/ERR2015054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2015054/ERR2015054_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC08_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC08_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC08_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC08_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/004/ERR2015054	ftp.sra.ebi.ac.uk/vol1/err/ERR201/004/ERR2015054		
PRJEB21504	SAMEA104139297	ERS1798315	ERX2074637	ERR2015055	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2015055/ERR2015055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2015055/ERR2015055_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2015055/ERR2015055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2015055/ERR2015055_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC09_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC09_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC09_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC09_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/005/ERR2015055	ftp.sra.ebi.ac.uk/vol1/err/ERR201/005/ERR2015055		
PRJEB21504	SAMEA104139298	ERS1798316	ERX2074638	ERR2015056	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2015056/ERR2015056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2015056/ERR2015056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2015056/ERR2015056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2015056/ERR2015056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC10_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC10_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/006/ERR2015056	ftp.sra.ebi.ac.uk/vol1/err/ERR201/006/ERR2015056		
