	copy
337732	3
337735	1
181342	4
181344	1
4467992	4
4454356	3
306528	4
355102	1
189592	1
354275	5
301064	2
4327628	3
339886	3
183855	1
166156	6
523051	3
348377	3
4454531	7
194101	1
194104	6
194107	1
2949328	5
766563	4
2996838	4
193591	5
336468	4
3220254	4
128297	4
298394	4
4431292	4
362389	1
582181	2
191683	1
4338161	3
176062	4
308907	1
176060	4
1551174	1
176067	1
531495	6
463007	4
4414821	1
315382	4
588755	6
586517	4
2017729	1
345717	4
133341	6
432284	2
182062	3
4305923	2
190332	3
575041	3
158711	5
1142029	3
193829	2
826541	4
2689396	7
694337	2
182886	5
321106	4
168260	1
363389	4
313387	6
190155	6
175261	1
4480529	1
564581	8
188966	1
4425571	7
347572	4
4442508	4
3584772	2
3439402	5
258946	4
324882	8
182889	1
234959	2
530629	1
290485	2
540079	4
183224	3
183220	6
181161	6
347714	2
182933	1
306315	4
205934	3
316675	8
3926480	1
4421273	4
194488	3
517754	4
360385	1
174680	1
174683	1
31235	5
1046997	3
195681	6
296082	4
193219	1
296770	3
326013	4
334340	3
667010	4
305997	1
338105	4
174353	8
288682	1
825808	3
336614	1
366386	3
4465907	1
192226	1
192225	6
368711	4
180289	1
344114	1
354461	3
180572	4
110944	3
180577	1
187256	1
312070	8
4450198	6
4450194	5
287558	10
515279	1
74480	4
925707	4
177100	3
177101	1
4440670	5
177109	4
172163	3
315463	6
315462	3
185715	6
404292	1
1885089	5
181155	4
220206	3
1024529	4
1105860	3
289306	4
3438642	1
306885	3
922397	4
509709	3
210095	1
325113	2
290253	4
191148	4
1682179	4
198151	4
198156	1
210895	4
4449055	6
4449054	5
523589	12
4456894	3
290033	1
179625	1
519746	3
179620	3
310857	3
517583	1
539647	4
4338624	4
4374302	1
757622	5
4456091	7
338926	1
571165	4
4352242	2
363264	3
363266	3
583134	4
179449	3
331476	1
347382	1
365634	1
4309550	5
137183	3
3272764	1
271418	3
322464	4
322466	3
1523543	5
147195	3
333768	4
197334	1
158967	6
157246	4
158963	4
331697	1
814079	7
302333	4
516366	3
192945	4
416286	1
4453316	1
566243	7
2075910	4
175741	3
296960	6
296962	4
350189	4
178712	4
178713	5
190956	1
197274	4
165118	5
184249	4
300662	10
316289	4
4310803	1
183144	1
977628	2
1124877	1
183414	1
4439469	6
374557	3
4041792	4
289495	4
369635	3
4308835	4
308072	6
181367	3
710432	6
304568	4
354254	6
712142	5
2309802	5
177663	4
527762	2
177660	6
536584	4
194129	1
194123	6
191442	4
325326	8
191445	4
198814	3
295871	4
512894	5
193797	4
182431	3
333166	4
965500	5
4315974	4
367176	4
302538	4
166515	2
261277	1
105287	6
1105984	5
199147	3
199141	1
168068	2
341902	4
3200278	6
157012	4
149699	1
293918	4
158775	4
182044	4
199490	1
199491	6
197783	4
322580	4
112931	4
198362	1
513078	6
742358	1
1696607	1
4094866	3
4473763	5
175535	5
179291	4
352559	1
188945	1
347553	2
364109	1
300870	4
584463	1
3887769	5
3398712	1
178977	4
303379	10
519680	6
4415649	1
2876801	5
296577	4
272555	1
196435	4
451449	7
4447950	5
325910	3
537219	4
178478	5
352647	4
520720	4
178474	1
950922	7
4304901	4
585227	4
271602	4
180771	3
92535	4
178571	3
1766666	3
182600	4
182603	3
184465	1
184464	4
561676	4
180552	4
180555	3
13986	4
317888	4
4225004	1
4410265	5
277388	4
929580	4
355312	4
303963	8
189381	3
843454	3
843459	4
3195500	1
817995	4
184651	4
292276	6
554296	5
183954	1
185731	1
185734	4
364903	6
4343627	5
235024	2
301184	7
181603	3
1997733	3
300594	2
592156	4
2423305	3
186389	2
191783	4
3121406	3
845444	6
340711	3
3465320	5
1077373	4
1624481	1
290235	5
4476065	1
509621	5
278928	2
1139897	1
176450	1
865469	6
198176	1
1056816	6
199218	3
513685	2
1053321	4
292145	4
197146	1
10512	3
4343842	4
152278	4
182383	4
187470	3
1086274	5
184922	3
187400	1
331326	3
577206	4
986574	7
317065	4
174589	1
174588	1
187404	5
186876	3
1141646	4
319938	4
175184	4
175180	3
179601	4
178322	1
179609	1
1108745	8
302352	1
342666	4
312586	4
335827	4
207126	6
175761	4
585419	5
111028	3
2123719	1
171607	3
145572	3
294856	6
190975	5
688701	6
330323	8
311587	3
306299	4
301956	5
183169	4
302975	4
338372	1
180123	4
180121	4
4308811	1
194696	6
194693	6
1652947	3
73609	5
905211	3
2686590	1
359149	6
365621	3
187747	2
196125	4
177600	4
839200	1
925131	4
583974	3
182416	1
189445	3
189443	6
4315958	5
1978955	6
21652	2
3544569	3
4303213	7
585869	10
554338	1
515531	7
4365130	5
342397	1
4288931	5
198696	3
294219	1
4339832	4
157033	3
199344	1
232222	5
518040	2
362470	3
251289	4
538967	5
4434579	4
1848900	1
752354	3
329390	5
105409	4
172233	2
846798	5
168047	1
230578	1
157693	3
300859	4
186652	1
566976	7
316587	5
1113289	3
1113282	2
856235	4
528753	5
198439	3
2029459	2
157966	4
290771	1
3924627	4
179812	1
59563	3
174170	1
271593	1
174174	4
4381555	3
298562	4
4101782	4
3708846	4
183592	4
183598	4
194993	1
194990	1
331150	3
194995	6
2532173	1
335311	3
313037	4
3807411	5
183620	2
158113	4
606755	3
1100471	7
183626	4
189630	3
4332078	4
350224	2
192262	3
4410938	3
511795	5
358939	4
405780	1
355334	2
287510	3
114400	5
192127	4
287514	2
558839	4
3845864	4
567875	4
4458306	5
185281	1
182167	4
292216	1
292215	4
840961	3
178452	1
1857626	4
191738	4
2438203	1
309391	3
130214	1
183970	1
183971	4
192696	1
539820	4
897007	5
348703	3
4295707	3
7366	3
191766	6
233953	3
4362300	1
4369131	6
295938	4
682726	2
4404220	6
1713225	1
191108	3
297266	3
297268	3
357305	3
176726	1
173917	1
4403689	3
321825	4
4425495	5
539688	4
1805553	1
2840201	4
4405869	7
211907	4
2447244	4
548503	1
851668	4
1959881	4
317048	4
317515	4
317041	1
157203	6
526804	4
157201	6
353155	4
183988	3
197624	6
189997	2
1062051	3
626544	3
179663	4
179662	4
175168	3
2177996	1
178822	1
688934	7
297237	4
268425	3
175708	4
179486	6
175704	1
337465	2
178759	2
338681	4
337468	4
300620	4
369797	2
370183	1
300628	4
3203801	4
196577	3
196572	4
787663	8
351095	3
267042	1
4435309	2
332450	6
186463	3
188735	5
590168	4
181853	6
181858	4
311078	3
303027	4
4436046	1
4333921	4
186906	1
4406817	4
4406814	3
4406818	6
4406819	6
113003	1
4410097	4
326626	6
173135	4
196100	1
1943557	3
177623	1
184349	1
145735	6
180107	1
180450	1
184013	6
1769960	1
318131	4
337161	6
4444277	4
310301	4
158321	3
4483015	4
307638	3
186883	1
4470078	5
186881	6
4424239	5
348065	3
521866	3
346938	4
287700	1
4325533	3
310247	5
292537	4
515552	5
322962	4
732765	5
2927689	1
854151	4
190358	4
174497	4
514974	6
197430	3
190420	5
716984	1
683112	1
301375	4
290974	4
332210	1
362327	4
362450	4
538947	1
363321	1
246717	3
191595	2
210262	4
4467347	6
314095	6
316037	1
4469032	7
3805726	8
3682570	2
196748	1
249776	4
196742	3
367790	1
194526	3
39613	8
4374084	5
175397	3
193191	6
326390	3
296535	5
169515	4
325621	3
194424	6
194425	4
454921	3
820843	8
174629	3
174625	6
1029036	3
182196	3
4434334	4
188856	1
34061	6
344512	4
68841	6
196462	4
192240	4
291445	4
43373	2
289734	1
174840	4
289730	4
295100	4
169364	4
